,0
TCGA-LD-A7W6-01A,4
TCGA-AR-A0TT-01A,0
TCGA-EW-A1OV-01A,3
TCGA-A2-A0SV-01A,2
TCGA-EW-A1P1-01A,2
TCGA-AO-A1KP-01A,4
TCGA-D8-A1JD-01A,1
TCGA-BH-A0C3-01A,0
TCGA-E2-A15K-01A,4
TCGA-E9-A1RI-01A,0
TCGA-E9-A1R6-01A,1
TCGA-D8-A1XT-01A,4
TCGA-AC-A6IX-01A,4
TCGA-WT-AB41-01A,4
TCGA-A2-A25A-01A,2
TCGA-S3-A6ZG-01A,1
TCGA-BH-A5J0-01A,1
TCGA-AR-A24O-01A,2
TCGA-BH-A202-01A,1
TCGA-AC-A2FF-01A,0
TCGA-BH-A0DP-01A,1
TCGA-AR-A251-01A,3
TCGA-E2-A1L9-01A,0
TCGA-LL-A6FQ-01A,1
TCGA-D8-A27W-01A,1
TCGA-E9-A1ND-01A,3
TCGA-BH-A5IZ-01A,0
TCGA-OL-A5RW-01A,3
TCGA-A2-A0YG-01A,3
TCGA-AR-A24U-01A,4
TCGA-LL-A7T0-01A,3
TCGA-EW-A1P5-01A,1
TCGA-BH-A1FM-01A,1
TCGA-OL-A5S0-01A,3
TCGA-AN-A0XS-01A,3
TCGA-A7-A4SE-01A,3
TCGA-BH-A0HX-01A,1
TCGA-S3-AA10-01A,3
TCGA-E9-A1R3-01A,1
TCGA-E9-A22G-01A,2
TCGA-AC-A8OR-01A,0
TCGA-A2-A1G1-01A,4
TCGA-A1-A0SK-01A,3
TCGA-GM-A2DO-01A,2
TCGA-EW-A2FS-01A,0
TCGA-A2-A0SY-01A,0
TCGA-E9-A6HE-01A,4
TCGA-AC-A2FO-01A,2
TCGA-D8-A27K-01A,2
TCGA-S3-A6ZH-01A,1
TCGA-D8-A27F-01A,4
TCGA-D8-A1XB-01A,4
TCGA-EW-A1P6-01A,2
TCGA-BH-A0WA-01A,3
TCGA-BH-A2L8-01A,4
TCGA-E2-A576-01A,0
TCGA-B6-A1KF-01A,3
TCGA-D8-A1XZ-01A,1
TCGA-D8-A1JK-01A,3
TCGA-AR-A0TX-01A,2
TCGA-BH-A0AZ-01A,2
TCGA-B6-A0WY-01A,1
TCGA-LL-A5YN-01A,2
TCGA-C8-A1HI-01A,1
TCGA-GM-A2DM-01A,2
TCGA-E9-A1NE-01A,0
TCGA-XX-A899-01A,0
TCGA-W8-A86G-01A,1
TCGA-A1-A0SN-01A,3
TCGA-UL-AAZ6-01A,1
TCGA-BH-A201-01A,4
TCGA-AQ-A54N-01A,3
TCGA-EW-A1P4-01A,3
TCGA-E9-A3X8-01A,3
TCGA-OL-A5RU-01A,0
TCGA-EW-A1J3-01A,0
TCGA-AC-A2QH-01A,3
TCGA-OL-A66O-01A,1
TCGA-BH-A1F8-01A,2
TCGA-D8-A1XR-01A,4
TCGA-BH-A1FC-01A,3
TCGA-D8-A4Z1-01A,2
TCGA-E9-A1R2-01A,4
TCGA-A2-A259-01A,0
TCGA-D8-A1XY-01A,3
TCGA-AN-A0XU-01A,3
TCGA-4H-AAAK-01A,3
